# Supplementary Table 10. Differentially expressed genes of subsets within major cell lineages
# Differentially expressed genes for each cluster analyzed within each major cell lineage (Cancer epithelial, Normal Epithelial, T-cells, B-cells, Myeloid, CAFs, PVL and Endothelial). Subset level clusters were compared against all other clusters within their major lineage using the MAST method (FindAllMarkers) with a log-scale fold change threshold of 0.25, detected in at least 0.1 of cells in either clusters and genes with a fraction difference of 0.1. Genes were filtered by an adjusted p-value threshold of 0.05. Statistical significance for differential gene expression in MAST69 was determined using the wilcox test, with all p-values adjusted using bonferroni correction.
p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene	major lineage
5.64E-263	0.330231259	0.391	0.134	1.68E-258	Cancer LumB SC	FAM84A	Cancer Epithelial
3.31E-152	0.330025356	0.592	0.382	9.85E-148	Cancer LumB SC	CDK5RAP3	Cancer Epithelial
1.67E-102	0.32976039	0.716	0.543	4.97E-98	Cancer LumB SC	RARRES3	Cancer Epithelial
8.96E-149	0.32847212	0.763	0.648	2.66E-144	Cancer LumB SC	SEC62	Cancer Epithelial
7.77E-176	0.328206276	0.594	0.392	2.31E-171	Cancer LumB SC	DYNC1I2	Cancer Epithelial
4.37E-209	0.326938658	0.641	0.363	1.30E-204	Cancer LumB SC	CNPY2	Cancer Epithelial
1.22E-190	0.326158539	0.469	0.229	3.62E-186	Cancer LumB SC	CPEB4	Cancer Epithelial
3.39E-177	0.326074753	0.581	0.426	1.01E-172	Cancer LumB SC	FAM195B	Cancer Epithelial
1.77E-131	0.325312743	0.485	0.283	5.27E-127	Cancer LumB SC	SORD	Cancer Epithelial
4.40E-113	0.324176518	0.757	0.624	1.31E-108	Cancer LumB SC	COX17	Cancer Epithelial
9.72E-131	0.323208724	0.662	0.48	2.89E-126	Cancer LumB SC	SLC38A1	Cancer Epithelial
4.84E-132	0.322511361	0.774	0.65	1.44E-127	Cancer LumB SC	NDUFA5	Cancer Epithelial
2.37E-207	0.32206593	0.547	0.287	7.04E-203	Cancer LumB SC	LIMA1	Cancer Epithelial
8.77E-179	0.321339467	0.577	0.362	2.61E-174	Cancer LumB SC	EBLN3	Cancer Epithelial
9.65E-160	0.321309136	0.78	0.665	2.87E-155	Cancer LumB SC	SRSF5	Cancer Epithelial
0	0.320779752	0.511	0.185	0	Cancer LumB SC	ZNF552	Cancer Epithelial
9.71E-168	0.320735255	0.621	0.426	2.89E-163	Cancer LumB SC	EIF4A1	Cancer Epithelial
3.16E-122	0.31942725	0.695	0.573	9.40E-118	Cancer LumB SC	HACD3	Cancer Epithelial
1.28E-146	0.318592157	0.664	0.479	3.82E-142	Cancer LumB SC	SRSF1	Cancer Epithelial
2.22E-154	0.317214123	0.692	0.514	6.61E-150	Cancer LumB SC	GPBP1	Cancer Epithelial
2.72E-139	0.316656936	0.71	0.531	8.08E-135	Cancer LumB SC	TMEM205	Cancer Epithelial
1.45E-183	0.31631194	0.569	0.389	4.31E-179	Cancer LumB SC	ZMAT2	Cancer Epithelial
7.54E-158	0.315906236	0.476	0.243	2.24E-153	Cancer LumB SC	C8orf4	Cancer Epithelial
1.69E-134	0.314539024	0.689	0.574	5.03E-130	Cancer LumB SC	LYPLA1	Cancer Epithelial
5.45E-218	0.313270102	0.322	0.103	1.62E-213	Cancer LumB SC	LINC00993	Cancer Epithelial
2.96E-188	0.311779499	0.535	0.325	8.81E-184	Cancer LumB SC	ATP6V1E1	Cancer Epithelial
0	0.311763517	0.428	0.134	0	Cancer LumB SC	CSAD	Cancer Epithelial
5.08E-260	0.309440722	0.281	0.065	1.51E-255	Cancer LumB SC	SOCS2	Cancer Epithelial
9.41E-147	0.308613119	0.536	0.338	2.80E-142	Cancer LumB SC	KAT6B	Cancer Epithelial
3.76E-82	0.308606559	0.626	0.513	1.12E-77	Cancer LumB SC	EGR1	Cancer Epithelial
2.62139359285896e-316	0.308250837	0.451	0.16	7.79418956964754e-312	Cancer LumB SC	SDHAF2	Cancer Epithelial
0	0.307551188	0.418	0.108	0	Cancer LumB SC	KIF12	Cancer Epithelial
7.02E-188	0.307550004	0.518	0.291	2.09E-183	Cancer LumB SC	CIR1	Cancer Epithelial
5.63E-234	0.306929251	0.509	0.23	1.68E-229	Cancer LumB SC	HID1	Cancer Epithelial
1.02E-248	0.306451369	0.473	0.221	3.02E-244	Cancer LumB SC	SLU7	Cancer Epithelial
1.93E-291	0.305398633	0.569	0.258	5.75E-287	Cancer LumB SC	PSMA2	Cancer Epithelial
3.99E-283	0.303070239	0.423	0.143	1.19E-278	Cancer LumB SC	IFI35	Cancer Epithelial
2.88E-292	0.302890816	0.432	0.153	8.56E-288	Cancer LumB SC	PISD	Cancer Epithelial
6.54E-168	0.300518383	0.76	0.52	1.94E-163	Cancer LumB SC	MLPH	Cancer Epithelial
1.63E-137	0.299999416	0.578	0.426	4.85E-133	Cancer LumB SC	RAC3	Cancer Epithelial
4.26E-229	0.29966668	0.502	0.224	1.27E-224	Cancer LumB SC	COMMD3	Cancer Epithelial
2.64E-117	0.298850588	0.554	0.364	7.85E-113	Cancer LumB SC	SRSF6	Cancer Epithelial
4.63E-198	0.297450792	0.483	0.242	1.38E-193	Cancer LumB SC	NAT9	Cancer Epithelial
2.83E-156	0.297392321	0.598	0.422	8.41E-152	Cancer LumB SC	HAGH	Cancer Epithelial
1.39E-199	0.297346306	0.486	0.26	4.14E-195	Cancer LumB SC	THUMPD3	Cancer Epithelial
0	0.297137999	0.322	0.032	0	Cancer LumB SC	SLC16A6	Cancer Epithelial
7.38E-236	0.295486165	0.472	0.204	2.19E-231	Cancer LumB SC	MKL2	Cancer Epithelial
1.57E-153	0.294183009	0.765	0.62	4.66E-149	Cancer LumB SC	ASAH1	Cancer Epithelial
4.41E-161	0.294107896	0.575	0.342	1.31E-156	Cancer LumB SC	BLOC1S1	Cancer Epithelial
2.31E-259	0.290976648	0.514	0.22	6.85E-255	Cancer LumB SC	BCAS4	Cancer Epithelial
3.24E-133	0.290611501	0.566	0.384	9.65E-129	Cancer LumB SC	TSG101	Cancer Epithelial
0	0.289954643	0.288	0.005	0	Cancer LumB SC	CST9	Cancer Epithelial
6.21E-173	0.288923239	0.563	0.311	1.85E-168	Cancer LumB SC	MCCC2	Cancer Epithelial
4.64E-178	0.288085142	0.518	0.266	1.38E-173	Cancer LumB SC	RHOBTB3	Cancer Epithelial
1.04E-119	0.286260781	0.637	0.474	3.08E-115	Cancer LumB SC	EIF4A3	Cancer Epithelial
1.08E-192	0.286228341	0.479	0.24	3.21E-188	Cancer LumB SC	TM2D2	Cancer Epithelial
0	0.286187525	0.322	0.02	0	Cancer LumB SC	KISS1R	Cancer Epithelial
8.69E-120	0.285925178	0.599	0.443	2.58E-115	Cancer LumB SC	CCDC47	Cancer Epithelial
0	0.284087488	0.413	0.12	0	Cancer LumB SC	UNK	Cancer Epithelial
3.36E-306	0.283904828	0.404	0.128	9.98E-302	Cancer LumB SC	SYNJ2BP	Cancer Epithelial
0	0.282728353	0.299	0.022	0	Cancer LumB SC	C12orf60	Cancer Epithelial
0	0.282606308	0.441	0.136	0	Cancer LumB SC	PCMTD2	Cancer Epithelial
1.61E-191	0.28196786	0.496	0.239	4.79E-187	Cancer LumB SC	CCNG2	Cancer Epithelial
2.46E-52	0.28140734	0.64	0.523	7.32E-48	Cancer LumB SC	HNRNPH1	Cancer Epithelial
0	0.281264888	0.364	0.09	0	Cancer LumB SC	BASP1	Cancer Epithelial
6.47E-174	0.28006459	0.501	0.272	1.92E-169	Cancer LumB SC	CRBN	Cancer Epithelial
5.23E-230	0.279558275	0.456	0.196	1.56E-225	Cancer LumB SC	RNF14	Cancer Epithelial
9.24E-182	0.279166929	0.487	0.25	2.75E-177	Cancer LumB SC	CRELD1	Cancer Epithelial
1.28E-137	0.277853035	0.556	0.34	3.81E-133	Cancer LumB SC	CXXC5	Cancer Epithelial
1.16E-111	0.277801238	0.569	0.385	3.46E-107	Cancer LumB SC	CETN2	Cancer Epithelial
9.32E-197	0.277764763	0.53	0.273	2.77E-192	Cancer LumB SC	C5orf15	Cancer Epithelial
1.12E-295	0.276770144	0.345	0.09	3.34E-291	Cancer LumB SC	ENPP1	Cancer Epithelial
1.47E-118	0.276445063	0.704	0.537	4.36E-114	Cancer LumB SC	PVRL2	Cancer Epithelial
1.58E-301	0.275875106	0.425	0.136	4.69E-297	Cancer LumB SC	THSD4	Cancer Epithelial
1.93E-121	0.274948745	0.6	0.43	5.73E-117	Cancer LumB SC	AIMP1	Cancer Epithelial
3.33E-83	0.273778381	0.52	0.35	9.90E-79	Cancer LumB SC	MARCKS	Cancer Epithelial
0	0.272583247	0.341	0.056	0	Cancer LumB SC	FAM215B	Cancer Epithelial
4.31E-159	0.272134192	0.606	0.365	1.28E-154	Cancer LumB SC	VKORC1	Cancer Epithelial
3.15E-197	0.271248497	0.478	0.232	9.37E-193	Cancer LumB SC	BORCS7	Cancer Epithelial
4.94065645841247e-324	0.270506174	0.387	0.105	1.46900538477978e-319	Cancer LumB SC	RNF43	Cancer Epithelial
6.42E-144	0.269978143	0.539	0.366	1.91E-139	Cancer LumB SC	METTL23	Cancer Epithelial
0	0.269596738	0.374	0.08	0	Cancer LumB SC	CCDC170	Cancer Epithelial
6.95E-80	0.26906193	0.668	0.508	2.07E-75	Cancer LumB SC	PET100	Cancer Epithelial
2.54E-115	0.268900254	0.615	0.448	7.57E-111	Cancer LumB SC	OXLD1	Cancer Epithelial
9.41E-264	0.26879514	0.438	0.159	2.80E-259	Cancer LumB SC	C5orf30	Cancer Epithelial
5.00E-285	0.268749392	0.285	0.06	1.49E-280	Cancer LumB SC	STC1	Cancer Epithelial
1.71E-249	0.268176241	0.474	0.197	5.09E-245	Cancer LumB SC	SYS1	Cancer Epithelial
1.27E-86	0.268035302	0.162	0.057	3.77E-82	Cancer LumB SC	DSCAM-AS1	Cancer Epithelial
8.83E-145	0.267236339	0.666	0.431	2.62E-140	Cancer LumB SC	GPRC5A	Cancer Epithelial
3.74E-183	0.266564224	0.504	0.263	1.11E-178	Cancer LumB SC	OCEL1	Cancer Epithelial
1.15E-115	0.266541294	0.57	0.415	3.43E-111	Cancer LumB SC	AMZ2	Cancer Epithelial
6.44E-155	0.26628452	0.363	0.157	1.92E-150	Cancer LumB SC	SEC14L2	Cancer Epithelial
2.12E-168	0.266231431	0.579	0.331	6.29E-164	Cancer LumB SC	SIGIRR	Cancer Epithelial
4.34E-246	0.265471309	0.399	0.141	1.29E-241	Cancer LumB SC	SH3GLB2	Cancer Epithelial
0	0.265434399	0.333	0.039	0	Cancer LumB SC	WNK4	Cancer Epithelial
1.21E-279	0.264543051	0.375	0.112	3.61E-275	Cancer LumB SC	SGK3	Cancer Epithelial
6.42E-89	0.264181919	0.707	0.528	1.91E-84	Cancer LumB SC	MINOS1	Cancer Epithelial
1.47E-124	0.263970509	0.53	0.34	4.37E-120	Cancer LumB SC	Mar-06	Cancer Epithelial
1.93E-190	0.263869469	0.48	0.242	5.73E-186	Cancer LumB SC	COIL	Cancer Epithelial
2.73E-265	0.261663817	0.422	0.148	8.13E-261	Cancer LumB SC	ZNF587	Cancer Epithelial
9.90E-60	0.26135528	0.598	0.496	2.94E-55	Cancer LumB SC	HEBP1	Cancer Epithelial
4.66E-168	0.260027964	0.544	0.3	1.38E-163	Cancer LumB SC	P4HTM	Cancer Epithelial
0	0.259155549	0.342	0.057	0	Cancer LumB SC	SYTL4	Cancer Epithelial
7.64E-148	0.258476177	0.512	0.297	2.27E-143	Cancer LumB SC	SIPA1	Cancer Epithelial
2.37E-227	0.25810395	0.427	0.167	7.05E-223	Cancer LumB SC	MYB	Cancer Epithelial
5.58E-125	0.258055825	0.546	0.367	1.66E-120	Cancer LumB SC	RAB8A	Cancer Epithelial
2.30E-185	0.257854222	0.483	0.238	6.85E-181	Cancer LumB SC	G6PC3	Cancer Epithelial
8.48E-234	0.257607506	0.38	0.132	2.52E-229	Cancer LumB SC	HIST2H2BE	Cancer Epithelial
7.88E-121	0.256844617	0.586	0.393	2.34E-116	Cancer LumB SC	PIGP	Cancer Epithelial
8.96E-108	0.256483793	0.58	0.456	2.67E-103	Cancer LumB SC	LSM1	Cancer Epithelial
1.22E-103	0.254713729	0.71	0.599	3.62E-99	Cancer LumB SC	TMEM141	Cancer Epithelial
1.91E-147	0.254328299	0.481	0.261	5.68E-143	Cancer LumB SC	MVP	Cancer Epithelial
0	0.253865809	0.325	0.067	0	Cancer LumB SC	IRS1	Cancer Epithelial
2.81E-125	0.253517417	0.495	0.3	8.35E-121	Cancer LumB SC	LARP7	Cancer Epithelial
4.08E-130	0.252728943	0.511	0.31	1.21E-125	Cancer LumB SC	CHURC1	Cancer Epithelial
9.37E-260	0.251802268	0.388	0.133	2.79E-255	Cancer LumB SC	GATA3-AS1	Cancer Epithelial
8.46E-137	0.25157056	0.506	0.291	2.51E-132	Cancer LumB SC	CERS6	Cancer Epithelial
1.17E-182	0.251266749	0.461	0.216	3.48E-178	Cancer LumB SC	SRP19	Cancer Epithelial
6.24E-113	0.25116428	0.525	0.329	1.86E-108	Cancer LumB SC	ATF6B	Cancer Epithelial
0	0.250907138	0.241	0.019	0	Cancer LumB SC	IGHM	Cancer Epithelial
1.81E-109	0.250478756	0.578	0.393	5.39E-105	Cancer LumB SC	RNASEH2C	Cancer Epithelial
0	1.4196877	0.225	0.034	0	Cancer Basal SC	FDCSP	Cancer Epithelial
0	1.398978972	0.73	0.234	0	Cancer Basal SC	VIM	Cancer Epithelial
0	1.371943181	0.688	0.193	0	Cancer Basal SC	LDHB	Cancer Epithelial
0	1.339686079	0.309	0.08	0	Cancer Basal SC	SAA1	Cancer Epithelial
0	1.224111351	0.509	0.14	0	Cancer Basal SC	RARRES1	Cancer Epithelial
0	1.209027331	0.809	0.618	0	Cancer Basal SC	HLA-B	Cancer Epithelial
7.43E-275	1.130909817	0.335	0.171	2.21E-270	Cancer Basal SC	APOE	Cancer Epithelial
0	1.113585478	0.471	0.118	0	Cancer Basal SC	CRYAB	Cancer Epithelial
0	1.049753873	0.504	0.258	0	Cancer Basal SC	HLA-DRA	Cancer Epithelial
2.13E-207	1.047551965	0.291	0.172	6.32E-203	Cancer Basal SC	IGFBP7	Cancer Epithelial
0	1.043812166	0.532	0.233	0	Cancer Basal SC	S100A4	Cancer Epithelial
1.74E-183	1.04162473	0.183	0.064	5.17E-179	Cancer Basal SC	COL1A2	Cancer Epithelial
0	1.001033493	0.652	0.2	0	Cancer Basal SC	CALD1	Cancer Epithelial
0	0.998009675	0.755	0.463	0	Cancer Basal SC	CD74	Cancer Epithelial
4.25E-204	0.971606874	0.229	0.091	1.26E-199	Cancer Basal SC	SPARC	Cancer Epithelial
0	0.911621	0.958	0.737	0	Cancer Basal SC	YBX1	Cancer Epithelial
0	0.896232304	0.814	0.626	0	Cancer Basal SC	HLA-A	Cancer Epithelial
8.37E-197	0.888248793	0.238	0.101	2.49E-192	Cancer Basal SC	CRABP1	Cancer Epithelial
2.68E-170	0.849043084	0.229	0.073	7.96E-166	Cancer Basal SC	KRT17	Cancer Epithelial
0	0.848603017	0.395	0.15	0	Cancer Basal SC	HLA-DPB1	Cancer Epithelial
4.20E-157	0.83025569	0.183	0.065	1.25E-152	Cancer Basal SC	COL6A1	Cancer Epithelial
0	0.821051088	0.434	0.121	0	Cancer Basal SC	MFGE8	Cancer Epithelial
0	0.81639278	0.681	0.323	0	Cancer Basal SC	CYBA	Cancer Epithelial
1.05364991367069e-312	0.809264419	0.392	0.141	3.13E-308	Cancer Basal SC	TPM2	Cancer Epithelial
1.72E-229	0.796583466	0.192	0.04	5.10E-225	Cancer Basal SC	C6orf15	Cancer Epithelial
3.67E-170	0.781853638	0.249	0.381	1.09E-165	Cancer Basal SC	S100P	Cancer Epithelial
0	0.764052127	0.416	0.152	0	Cancer Basal SC	HLA-DPA1	Cancer Epithelial
0	0.744843976	0.425	0.111	0	Cancer Basal SC	CAV1	Cancer Epithelial
8.83E-274	0.743132597	0.235	0.055	2.62E-269	Cancer Basal SC	SAA2	Cancer Epithelial
9.49E-254	0.735958674	0.837	0.709	2.82E-249	Cancer Basal SC	RPS20	Cancer Epithelial
0	0.732038994	0.631	0.393	0	Cancer Basal SC	SOD2	Cancer Epithelial
1.06E-291	0.721400197	0.28	0.07	3.14E-287	Cancer Basal SC	KRT16	Cancer Epithelial
0	0.710865832	0.771	0.588	0	Cancer Basal SC	EIF3L	Cancer Epithelial
0	0.708247801	0.287	0.058	0	Cancer Basal SC	UCHL1	Cancer Epithelial
0	0.707702489	0.836	0.715	0	Cancer Basal SC	PFDN2	Cancer Epithelial
1.80E-136	0.706552689	0.251	0.13	5.36E-132	Cancer Basal SC	FN1	Cancer Epithelial
3.85E-159	0.696505627	0.17	0.054	1.14E-154	Cancer Basal SC	COL6A2	Cancer Epithelial
0	0.692185613	0.421	0.135	0	Cancer Basal SC	SFRP1	Cancer Epithelial
0	0.686053331	0.507	0.182	0	Cancer Basal SC	ANXA1	Cancer Epithelial
3.05E-124	0.685555124	0.217	0.105	9.06E-120	Cancer Basal SC	ACTA2	Cancer Epithelial
1.71E-194	0.681451227	0.191	0.05	5.09E-190	Cancer Basal SC	POSTN	Cancer Epithelial
0	0.675688245	0.616	0.488	0	Cancer Basal SC	ARPC1B	Cancer Epithelial
2.64E-232	0.669613633	0.591	0.346	7.84E-228	Cancer Basal SC	MT1X	Cancer Epithelial
0	0.667930045	0.951	0.833	0	Cancer Basal SC	TPI1	Cancer Epithelial
0	0.663331916	0.581	0.425	0	Cancer Basal SC	TPD52L1	Cancer Epithelial
1.37E-250	0.651311038	0.293	0.087	4.08E-246	Cancer Basal SC	S100A2	Cancer Epithelial
2.34E-306	0.646650293	0.758	0.611	6.97E-302	Cancer Basal SC	PHB2	Cancer Epithelial
0	0.633015914	0.516	0.115	0	Cancer Basal SC	FSCN1	Cancer Epithelial
5.08E-201	0.627051746	0.332	0.153	1.51E-196	Cancer Basal SC	IL32	Cancer Epithelial
1.38E-280	0.622975511	0.35	0.144	4.10E-276	Cancer Basal SC	HLA-DRB5	Cancer Epithelial
0	0.621781308	0.601	0.208	0	Cancer Basal SC	FABP5	Cancer Epithelial
0	0.616514278	0.316	0.059	0	Cancer Basal SC	KRT6B	Cancer Epithelial
7.68E-215	0.612993635	0.206	0.05	2.28E-210	Cancer Basal SC	MMP7	Cancer Epithelial
0.00E+00	0.610342148	0.486	0.212	2.96E-304	Cancer Basal SC	COTL1	Cancer Epithelial
9.39E-263	0.60926107	0.244	0.056	2.79E-258	Cancer Basal SC	KRT14	Cancer Epithelial
0	0.605865882	0.772	0.575	0	Cancer Basal SC	STRAP	Cancer Epithelial
5.84E-94	0.600061729	0.458	0.334	1.74E-89	Cancer Basal SC	NSMCE4A	Cancer Epithelial
0	0.592238669	0.551	0.28	0	Cancer Basal SC	PSMB9	Cancer Epithelial
3.14E-263	0.577576787	0.675	0.487	9.35E-259	Cancer Basal SC	HLA-E	Cancer Epithelial
2.97E-200	0.57504147	0.746	0.631	8.84E-196	Cancer Basal SC	TMEM123	Cancer Epithelial
0	0.571209382	0.351	0.085	0	Cancer Basal SC	SERPINE2	Cancer Epithelial
1.34E-219	0.565193417	0.34	0.158	3.98E-215	Cancer Basal SC	CDKN2A	Cancer Epithelial
2.89E-104	0.54990648	0.347	0.195	8.60E-100	Cancer Basal SC	TIMP3	Cancer Epithelial
8.26E-297	0.548618484	0.354	0.135	2.46E-292	Cancer Basal SC	HLA-DQB1	Cancer Epithelial
0	0.548617036	0.533	0.26	0	Cancer Basal SC	OPTN	Cancer Epithelial
4.48E-124	0.548382709	0.368	0.211	1.33E-119	Cancer Basal SC	KRT15	Cancer Epithelial
3.37E-236	0.544874164	0.209	0.045	1.00E-231	Cancer Basal SC	KLK6	Cancer Epithelial
1.40E-260	0.539575889	0.467	0.22	4.17E-256	Cancer Basal SC	PHLDA1	Cancer Epithelial
2.99E-152	0.535929579	0.742	0.622	8.89E-148	Cancer Basal SC	RPS10	Cancer Epithelial
5.34E-132	0.534346036	0.232	0.101	1.59E-127	Cancer Basal SC	SRGN	Cancer Epithelial
0	0.532292795	0.285	0.061	0	Cancer Basal SC	KRT5	Cancer Epithelial
8.48E-298	0.531010073	0.387	0.144	2.52E-293	Cancer Basal SC	CSRP2	Cancer Epithelial
0	0.529012001	0.248	0.036	0	Cancer Basal SC	GABRP	Cancer Epithelial
1.89E-232	0.527956763	0.393	0.165	5.63E-228	Cancer Basal SC	CTSC	Cancer Epithelial
2.01E-236	0.518806139	0.528	0.327	5.99E-232	Cancer Basal SC	FAM3C	Cancer Epithelial
0	0.514816054	0.66	0.365	0	Cancer Basal SC	YBX3	Cancer Epithelial
2.08E-289	0.514766533	0.614	0.402	6.18E-285	Cancer Basal SC	UGP2	Cancer Epithelial
0	0.514465102	0.363	0.072	0	Cancer Basal SC	C1S	Cancer Epithelial
5.35E-185	0.502534768	0.47	0.292	1.59E-180	Cancer Basal SC	DSC2	Cancer Epithelial
3.58757369611642e-317	0.492711995	0.819	0.7	1.06669328706629e-312	Cancer Basal SC	ATP5C1	Cancer Epithelial
2.14E-242	0.490764566	0.203	0.049	6.38E-238	Cancer Basal SC	PRSS21	Cancer Epithelial
0	0.484611756	0.418	0.121	0	Cancer Basal SC	CAV2	Cancer Epithelial
1.20E-251	0.482056149	0.175	0.028	3.58E-247	Cancer Basal SC	RHCG	Cancer Epithelial
1.08E-174	0.477717149	0.665	0.457	3.20E-170	Cancer Basal SC	DDIT4	Cancer Epithelial
1.14E-212	0.474588818	0.434	0.239	3.38E-208	Cancer Basal SC	WARS	Cancer Epithelial
2.34E-291	0.47433316	0.888	0.665	6.97E-287	Cancer Basal SC	GSTP1	Cancer Epithelial
0	0.470191972	0.414	0.13	0	Cancer Basal SC	ACTR3B	Cancer Epithelial
1.78E-183	0.469841943	0.174	0.041	5.30E-179	Cancer Basal SC	PI3	Cancer Epithelial
4.44E-188	0.462507209	0.763	0.638	1.32E-183	Cancer Basal SC	GDI2	Cancer Epithelial
1.60E-196	0.46195061	0.673	0.497	4.75E-192	Cancer Basal SC	HDAC2	Cancer Epithelial
7.07E-192	0.461713238	0.634	0.485	2.10E-187	Cancer Basal SC	TAF1D	Cancer Epithelial
0	0.457356716	0.795	0.653	0	Cancer Basal SC	SNX3	Cancer Epithelial
4.98E-246	0.451499689	0.71	0.467	1.48E-241	Cancer Basal SC	ANXA5	Cancer Epithelial
6.83E-209	0.450831051	0.55	0.366	2.03E-204	Cancer Basal SC	NFIB	Cancer Epithelial
0	0.44691542	0.288	0.069	0	Cancer Basal SC	AHNAK2	Cancer Epithelial
1.33E-232	0.446843208	0.783	0.623	3.96E-228	Cancer Basal SC	CHCHD10	Cancer Epithelial
1.13E-241	0.445969023	0.505	0.282	3.36E-237	Cancer Basal SC	TAP1	Cancer Epithelial
3.45E-179	0.43899205	0.145	0.04	1.03E-174	Cancer Basal SC	TTYH1	Cancer Epithelial
1.04E-211	0.433142163	0.818	0.681	3.08E-207	Cancer Basal SC	ATP5B	Cancer Epithelial
1.68E-234	0.430714505	0.584	0.401	4.99E-230	Cancer Basal SC	LTBR	Cancer Epithelial
8.13E-149	0.427574406	0.731	0.574	2.42E-144	Cancer Basal SC	HMGA1	Cancer Epithelial
0	0.427262129	0.364	0.107	0	Cancer Basal SC	PTRF	Cancer Epithelial
2.57E-187	0.426017678	0.154	0.029	7.64E-183	Cancer Basal SC	MARCO	Cancer Epithelial
2.79E-282	0.420522868	0.844	0.709	8.28E-278	Cancer Basal SC	SERBP1	Cancer Epithelial
8.05E-194	0.417686183	0.127	0.019	2.39E-189	Cancer Basal SC	FRZB	Cancer Epithelial
6.01E-189	0.417389873	0.237	0.08	1.79E-184	Cancer Basal SC	CTHRC1	Cancer Epithelial
5.19E-160	0.415282897	0.287	0.119	1.54E-155	Cancer Basal SC	CXCL17	Cancer Epithelial
1.64E-124	0.413842735	0.514	0.341	4.87E-120	Cancer Basal SC	SERPINH1	Cancer Epithelial
8.78E-215	0.412572988	0.908	0.787	2.61E-210	Cancer Basal SC	MGST1	Cancer Epithelial
2.93E-183	0.411817002	0.645	0.517	8.70E-179	Cancer Basal SC	CALU	Cancer Epithelial
1.99E-228	0.411406678	0.873	0.682	5.90E-224	Cancer Basal SC	ENO1	Cancer Epithelial
5.83E-232	0.40933184	0.798	0.648	1.73E-227	Cancer Basal SC	ATP5A1	Cancer Epithelial
1.29E-131	0.407913628	0.612	0.467	3.84E-127	Cancer Basal SC	PFN2	Cancer Epithelial
1.94E-261	0.406301772	0.574	0.302	5.78E-257	Cancer Basal SC	TRIP6	Cancer Epithelial
1.46E-224	0.406157683	0.212	0.052	4.33E-220	Cancer Basal SC	VCAN	Cancer Epithelial
4.28E-202	0.403556234	0.782	0.67	1.27E-197	Cancer Basal SC	EIF3F	Cancer Epithelial
6.09E-282	0.402835366	0.244	0.053	1.81E-277	Cancer Basal SC	CHI3L1	Cancer Epithelial
2.22E-141	0.402628509	0.783	0.67	6.61E-137	Cancer Basal SC	RPL36A	Cancer Epithelial
2.08E-160	0.401682318	0.204	0.062	6.19E-156	Cancer Basal SC	LY6D	Cancer Epithelial
3.68E-204	0.401604054	0.24	0.073	1.09E-199	Cancer Basal SC	RGS2	Cancer Epithelial
3.62E-143	0.396182979	0.715	0.574	1.08E-138	Cancer Basal SC	TKT	Cancer Epithelial
1.83E-253	0.395006794	0.266	0.08	5.45E-249	Cancer Basal SC	HLA-DQA1	Cancer Epithelial
4.88E-215	0.394159096	0.534	0.329	1.45E-210	Cancer Basal SC	GTPBP4	Cancer Epithelial
0	0.391132165	0.38	0.098	0	Cancer Basal SC	KCNN4	Cancer Epithelial
1.35E-188	0.390256472	0.751	0.586	4.00E-184	Cancer Basal SC	EIF3I	Cancer Epithelial
6.48E-189	0.389148355	0.33	0.153	1.93E-184	Cancer Basal SC	HLA-DMA	Cancer Epithelial
6.26E-303	0.386374165	0.326	0.099	1.86E-298	Cancer Basal SC	SGK1	Cancer Epithelial
1.32325445946587e-310	0.385950438	0.282	0.08	3.93E-306	Cancer Basal SC	ELF5	Cancer Epithelial
2.40E-289	0.38437256	0.256	0.059	7.12E-285	Cancer Basal SC	GYPC	Cancer Epithelial
1.47E-154	0.381976325	0.171	0.047	4.37E-150	Cancer Basal SC	GAL	Cancer Epithelial
2.13E-235	0.379370372	0.214	0.048	6.33E-231	Cancer Basal SC	MSLN	Cancer Epithelial
1.56E-247	0.378411524	0.831	0.725	4.65E-243	Cancer Basal SC	PPA1	Cancer Epithelial
1.28E-165	0.374416573	0.671	0.529	3.82E-161	Cancer Basal SC	FBL	Cancer Epithelial
1.21E-231	0.369038107	0.311	0.138	3.60E-227	Cancer Basal SC	NDRG2	Cancer Epithelial
2.22E-199	0.364337833	0.84	0.71	6.59E-195	Cancer Basal SC	ARPC2	Cancer Epithelial
5.96E-125	0.363150563	0.542	0.425	1.77E-120	Cancer Basal SC	ATP1B3	Cancer Epithelial
1.06E-199	0.362576101	0.241	0.072	3.15E-195	Cancer Basal SC	LCN2	Cancer Epithelial
3.53E-285	0.361528382	0.224	0.042	1.05E-280	Cancer Basal SC	LEMD1	Cancer Epithelial
9.79E-142	0.360479535	0.542	0.384	2.91E-137	Cancer Basal SC	RCN1	Cancer Epithelial
9.05E-201	0.360307617	0.638	0.45	2.69E-196	Cancer Basal SC	HDDC2	Cancer Epithelial
2.89E-156	0.360035668	0.529	0.338	8.59E-152	Cancer Basal SC	SLC25A37	Cancer Epithelial
2.27E-165	0.35868307	0.704	0.516	6.76E-161	Cancer Basal SC	POLR2F	Cancer Epithelial
2.97E-169	0.357843459	0.542	0.323	8.84E-165	Cancer Basal SC	LMO4	Cancer Epithelial
0	0.354759852	0.429	0.149	0	Cancer Basal SC	PRNP	Cancer Epithelial
